,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
64,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",19,Graphite Grey,"Spring, Summer, Fall, Winter",XXL
65,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",14,Graphite Grey,"Spring, Summer, Fall, Winter",L
66,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",18,Graphite Grey,"Spring, Summer, Fall, Winter",XS
67,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",17,Graphite Grey,"Spring, Summer, Fall, Winter",XL
68,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",16,Graphite Grey,"Spring, Summer, Fall, Winter",S
69,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",15,Graphite Grey,"Spring, Summer, Fall, Winter",M
70,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",6,Black,"Spring, Summer, Fall, Winter",XS
71,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",5,Black,"Spring, Summer, Fall, Winter",XL
72,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",4,Black,"Spring, Summer, Fall, Winter",S
73,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",27,Iron Blue,"Spring, Summer, Fall, Winter",XXXL
74,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",7,Black,"Spring, Summer, Fall, Winter",XXL
75,Surge Jogger *Tall,Joggers,Warpstreme,Slim Fit,"Lightweight, Reflective, Pocketed","running, casual, On the Move, travel",25,Iron Blue,"Spring, Summer, Fall, Winter",XS
