,Product Name,Category,Product Feel,Product Fit,Product Function,Best Suited Activity,sku_orderInAvailabilityMap,Color,Best Suited Weather,sku_size
94,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",8,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",XL
95,"Bowline Short 8"" *Ventlight Mesh",Shorts,Mesh,Classic Fit,"ABC Technology, Drawstring, Pocketed","On the Move, travel, casual",11,Marker Check Grey Multi,"Fall, Spring, Summer, Warm Weather",S
96,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",36,Dark Olive,"Spring, Summer, Warm Weather",M
97,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",35,Dark Olive,"Spring, Summer, Warm Weather",L
98,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",41,Sport Red,"Spring, Summer, Warm Weather",L
99,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",46,Sport Red,"Spring, Summer, Warm Weather",XXL
100,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",45,Sport Red,"Spring, Summer, Warm Weather",XS
101,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",42,Sport Red,"Spring, Summer, Warm Weather",M
102,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",43,Sport Red,"Spring, Summer, Warm Weather",S
103,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",44,Sport Red,"Spring, Summer, Warm Weather",XL
104,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",32,Gravel Dust True Navy Multi,"Spring, Summer, Warm Weather",S
105,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",33,Gravel Dust True Navy Multi,"Spring, Summer, Warm Weather",XL
106,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",30,Gravel Dust True Navy Multi,"Spring, Summer, Warm Weather",L
107,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",31,Gravel Dust True Navy Multi,"Spring, Summer, Warm Weather",M
108,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",23,Symphony Blue,"Spring, Summer, Warm Weather",XS
109,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",21,Symphony Blue,"Spring, Summer, Warm Weather",S
110,"Surge Lined Short 6""",Shorts,Swift,Relaxed Fit,"Lightweight, Out of Mind Liner, Pocketed","bike, running",22,Symphony Blue,"Spring, Summer, Warm Weather",XL
